,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
110,2020-04-20,KCAREDWO252,59.9,44.2,62,1.1,30.2,0.0
111,2020-04-21,KCAREDWO252,60.7,45.1,67,1.1,30.29,0.0
112,2020-04-22,KCAREDWO252,63.6,44.1,69,1.0,30.3,0.0
113,2020-04-23,KCAREDWO252,66.4,46.4,65,1.1,30.28,0.0
114,2020-04-24,KCAREDWO252,69.4,44.8,55,0.7,30.15,0.0
115,2020-04-25,KCAREDWO252,69.3,49.1,60,0.8,30.07,0.0
116,2020-04-26,KCAREDWO252,64.9,36.3,60,0.9,30.1,0.0
117,2020-04-27,KCAREDWO252,65.8,40.5,59,0.9,30.15,0.0
118,2020-04-28,KCAREDWO252,69.4,51.4,64,0.7,30.14,0.0
119,2020-04-29,KCAREDWO252,63.5,50.2,71,0.8,30.11,0.0
120,2020-04-30,KCAREDWO252,64.1,32.2,59,0.9,30.15,0.0
121,2020-05-01,KCAREDWO252,63.6,38.7,57,0.9,30.12,0.0
122,2020-05-02,KCAREDWO252,64.0,51.4,75,0.7,30.18,0.0
123,2020-05-03,KCAREDWO252,62.7,34.9,55,0.9,30.19,0.0
124,2020-05-04,KCAREDWO252,63.1,27.0,47,0.7,30.2,0.0
125,2020-05-05,KCAREDWO252,63.0,32.7,60,0.9,30.22,0.0
126,2020-05-06,KCAREDWO252,67.3,40.1,51,0.8,30.21,0.0
127,2020-05-07,KCAREDWO252,71.8,37.9,47,0.5,30.04,0.0
128,2020-05-08,KCAREDWO252,72.4,44.8,53,0.5,29.91,0.0
129,2020-05-09,KCAREDWO252,65.8,48.7,68,0.7,29.96,0.0
130,2020-05-10,KCAREDWO252,66.3,43.0,60,0.6,29.98,0.0
131,2020-05-11,KCAREDWO252,63.8,36.9,64,0.8,29.99,0.0
132,2020-05-12,KCAREDWO252,62.8,50.7,74,0.7,30.07,0.0
133,2020-05-13,KCAREDWO252,62.0,46.6,72,0.4,30.11,0.0
134,2020-05-14,KCAREDWO252,64.0,50.7,73,0.5,30.14,0.0
135,2020-05-15,KCAREDWO252,66.0,44.1,64,0.7,30.15,0.0
136,2020-05-16,KCAREDWO252,67.3,43.5,60,0.7,30.04,0.0
137,2020-05-17,KCAREDWO252,68.7,52.5,72,0.8,29.88,0.03
138,2020-05-18,KCAREDWO252,62.7,50.7,80,0.6,30.02,0.07
139,2020-05-19,KCAREDWO252,61.3,48.2,73,0.9,30.13,0.0
140,2020-05-20,KCAREDWO252,62.8,49.1,70,0.7,30.16,0.0
141,2020-05-21,KCAREDWO252,65.5,47.3,65,0.6,30.1,0.0
142,2020-05-22,KCAREDWO252,66.7,45.1,54,0.9,29.98,0.0
143,2020-05-23,KCAREDWO252,66.7,40.1,55,0.6,29.98,0.0
144,2020-05-24,KCAREDWO252,68.9,43.3,60,0.4,30.01,0.0
145,2020-05-25,KCAREDWO252,78.0,50.4,52,0.4,29.93,0.0
146,2020-05-26,KCAREDWO252,79.5,56.3,56,0.3,29.9,0.0
147,2020-05-27,KCAREDWO252,76.3,52.5,61,0.4,29.91,0.0
148,2020-05-28,KCAREDWO252,69.5,53.2,68,0.5,29.93,0.0
149,2020-05-29,KCAREDWO252,68.5,54.7,70,0.7,29.92,0.0
150,2020-05-30,KCAREDWO252,67.8,53.6,69,0.7,29.98,0.01
151,2020-05-31,KCAREDWO252,64.9,51.1,73,0.5,30.01,0.0
152,2020-06-01,KCAREDWO252,69.6,51.1,61,0.6,30.02,0.0
153,2020-06-02,KCAREDWO252,75.2,52.2,58,0.4,30.0,0.0
154,2020-06-03,KCAREDWO252,78.1,54.3,55,0.5,29.98,0.0
155,2020-06-04,KCAREDWO252,75.5,51.4,57,0.4,29.88,0.0
156,2020-06-05,KCAREDWO252,65.5,49.6,63,1.0,29.93,0.0
157,2020-06-06,KCAREDWO252,64.7,46.2,62,1.4,30.09,0.0
158,2020-06-07,KCAREDWO252,63.0,44.4,58,1.9,30.14,0.0
159,2020-06-08,KCAREDWO252,66.7,35.2,49,0.8,30.18,0.0
160,2020-06-09,KCAREDWO252,68.9,39.6,50,0.5,30.16,0.0
161,2020-06-10,KCAREDWO252,73.5,50.7,57,0.6,30.09,0.0
162,2020-06-11,KCAREDWO252,71.2,52.0,66,0.8,30.02,0.0
163,2020-06-12,KCAREDWO252,65.3,51.3,68,1.0,30.11,0.0
164,2020-06-13,KCAREDWO252,65.9,45.7,60,1.0,30.11,0.0
165,2020-06-14,KCAREDWO252,68.2,47.8,66,0.8,30.06,0.0
166,2020-06-15,KCAREDWO252,67.2,50.7,67,0.9,30.05,0.0
167,2020-06-16,KCAREDWO252,66.2,49.3,60,1.3,30.05,0.0
168,2020-06-17,KCAREDWO252,72.1,43.9,48,0.5,30.02,0.0
169,2020-06-18,KCAREDWO252,76.2,42.6,44,0.5,29.94,0.0
170,2020-06-19,KCAREDWO252,69.9,50.9,64,0.6,29.96,0.0
171,2020-06-20,KCAREDWO252,69.6,54.3,66,0.8,30.01,0.0
172,2020-06-21,KCAREDWO252,70.7,54.0,66,0.7,30.0,0.0
173,2020-06-22,KCAREDWO252,68.9,54.0,71,0.5,29.98,0.0
174,2020-06-23,KCAREDWO252,71.3,57.6,70,0.6,29.96,0.0
175,2020-06-24,KCAREDWO252,73.1,55.0,66,0.6,29.9,0.0
176,2020-06-25,KCAREDWO252,71.1,54.9,66,0.5,29.88,0.0
177,2020-06-26,KCAREDWO252,70.9,56.7,71,0.6,29.92,0.0
178,2020-06-27,KCAREDWO252,71.8,52.0,67,0.5,29.9,0.0
179,2020-06-28,KCAREDWO252,66.6,48.6,60,0.7,29.83,0.0
180,2020-06-29,KCAREDWO252,69.7,46.0,58,0.6,29.94,0.0
181,2020-06-30,KCAREDWO252,72.1,50.0,59,0.6,29.96,0.0
182,2020-07-01,KCAREDWO252,69.2,52.3,65,0.5,29.87,0.0
183,2020-07-02,KCAREDWO252,67.4,49.6,65,0.6,29.96,0.0
184,2020-07-03,KCAREDWO252,68.1,46.6,63,0.7,30.04,0.0
185,2020-07-04,KCAREDWO252,72.1,43.0,56,0.6,30.06,0.0
186,2020-07-05,KCAREDWO252,71.5,47.3,53,0.7,30.03,0.0
187,2020-07-06,KCAREDWO252,67.4,49.3,59,1.0,30.0,0.0
188,2020-07-07,KCAREDWO252,69.7,46.9,54,0.6,30.0,0.0
189,2020-07-08,KCAREDWO252,71.6,46.2,56,0.6,29.93,0.0
190,2020-07-09,KCAREDWO252,71.9,49.1,57,0.7,29.96,0.0
191,2020-07-10,KCAREDWO252,71.2,50.0,59,0.5,30.04,0.0
192,2020-07-11,KCAREDWO252,74.0,46.2,55,0.5,30.04,0.0
193,2020-07-12,KCAREDWO252,73.7,45.1,53,0.6,29.98,0.0
194,2020-07-13,KCAREDWO252,71.3,51.8,59,0.6,29.92,0.0
195,2020-07-14,KCAREDWO252,68.9,50.9,62,0.6,29.95,0.0
196,2020-07-15,KCAREDWO252,68.8,52.9,65,0.5,29.95,0.0
197,2020-07-16,KCAREDWO252,69.7,54.3,66,0.6,29.95,0.0
198,2020-07-17,KCAREDWO252,71.2,55.8,65,0.6,29.99,0.0
199,2020-07-18,KCAREDWO252,70.1,55.2,67,0.6,30.03,0.0
200,2020-07-19,KCAREDWO252,69.3,54.7,68,0.6,30.02,0.0
201,2020-07-20,KCAREDWO252,69.0,54.1,66,0.8,30.04,0.0
202,2020-07-21,KCAREDWO252,66.1,54.0,71,0.6,29.96,0.0
203,2020-07-22,KCAREDWO252,69.0,51.6,64,0.7,29.89,0.0
204,2020-07-23,KCAREDWO252,70.6,53.1,62,0.9,29.93,0.0
205,2020-07-24,KCAREDWO252,70.2,52.0,61,0.9,29.96,0.0
206,2020-07-25,KCAREDWO252,69.3,51.8,64,0.7,29.95,0.0
207,2020-07-26,KCAREDWO252,69.7,54.3,68,0.8,29.98,0.0
208,2020-07-27,KCAREDWO252,68.9,53.8,68,0.7,29.97,0.0
209,2020-07-28,KCAREDWO252,68.3,54.9,69,0.8,29.97,0.0
210,2020-07-29,KCAREDWO252,68.2,51.4,70,0.7,29.97,0.0
211,2020-07-30,KCAREDWO252,67.6,52.9,69,0.8,30.05,0.0
212,2020-07-31,KCAREDWO252,67.9,52.2,66,0.8,30.09,0.0
213,2020-08-01,KCAREDWO252,68.8,51.3,64,0.6,30.08,0.0
214,2020-08-02,KCAREDWO252,69.4,51.8,63,0.7,30.07,0.0
215,2020-08-03,KCAREDWO252,70.9,52.7,64,0.9,30.05,0.0
216,2020-08-04,KCAREDWO252,68.2,54.1,69,1.2,30.01,0.0
217,2020-08-05,KCAREDWO252,64.2,55.0,76,1.3,30.02,0.0
218,2020-08-06,KCAREDWO252,69.6,54.3,66,1.1,29.96,0.0
219,2020-08-07,KCAREDWO252,69.5,51.6,66,0.7,29.96,0.0
220,2020-08-08,KCAREDWO252,70.8,56.5,69,0.9,30.0,0.0
221,2020-08-09,KCAREDWO252,71.7,56.1,68,0.8,29.97,0.0
222,2020-08-10,KCAREDWO252,70.9,56.5,70,0.9,29.95,0.0
223,2020-08-11,KCAREDWO252,70.8,57.0,68,0.9,29.97,0.0
224,2020-08-12,KCAREDWO252,70.1,56.1,71,0.8,29.97,0.0
225,2020-08-13,KCAREDWO252,76.8,51.6,58,0.6,29.95,0.0
226,2020-08-14,KCAREDWO252,84.5,50.0,47,0.5,29.93,0.0
227,2020-08-15,KCAREDWO252,84.2,54.3,47,0.6,29.91,0.0
228,2020-08-16,KCAREDWO252,82.4,56.3,59,0.7,29.96,0.22
229,2020-08-17,KCAREDWO252,78.6,58.5,60,0.5,29.99,0.0
230,2020-08-18,KCAREDWO252,80.0,48.2,57,0.6,30.0,0.0
231,2020-08-19,KCAREDWO252,78.2,40.8,49,0.7,29.96,0.0
232,2020-08-20,KCAREDWO252,72.8,52.0,58,0.9,29.94,0.0
233,2020-08-21,KCAREDWO252,74.0,54.1,65,0.8,29.91,0.0
234,2020-08-22,KCAREDWO252,74.8,56.7,63,0.6,29.9,0.0
235,2020-08-23,KCAREDWO252,71.0,56.5,71,0.6,29.9,0.0
